kai_prj_nm,kai_srh_tms,kai_sln_id
Washer,spin,K87523412
Dish,filter,K44870223
Washer,NOISE,K35893596
Dish,takes too long,K20400488
Dryer,NDCS/SAFETY DOOR COVER DAMAGED,K08141156
Refrigeration,.,K37280721
Washer,not starting,K50302412
Washer,CL,K34203586
Dryer,handle,K29003827
Refrigeration,.,K95054095
Dryer,linty,K01314224
Washer,noise,K96253058
Refrigeration,not cooling,K44550414
Refrigeration,door,K24323351
Dryer,REWORK,K01251166
LawnGarden,belt,K53610302
Dish,not starting,K25716515
Dryer,Wont stop spinning,K21541259
LawnGarden,.,K36237126
Dryer,broken handle,K29003827
LawnGarden,.,K14011222
Dryer,mwo,K46428498
Refrigeration,cooling,K44550414
Dryer,not drying clothes,K91230329
Washer,noise,K15620999
LawnGarden,working,K02294308
Refrigeration,handle loose,K83372123
Cooking,NOT WORKING,K15348763
Washer,cl,K45458811
Cooking,CLICKING,K95962534
Electronics,remote,K30524263
Dish,locked,K47209960
LawnGarden,belt loose,K42067035
Refrigeration,.,K21267661
Refrigeration,info,K81075235
Dryer,NRUN- WILL NOT START,K46428498
Refrigeration,FILTER,K95133724
LawnGarden,b,K84941290
LawnGarden,wont start,K14011222
Refrigeration,frost,K64505222
Cooking,ERROR CODES,K15348763
Washer,wash,K41151261
Dryer,.,K55323073
Dryer,heating,K46428498
Cooking,heating,K81344192
Refrigeration,WATER FILTER,K95133724
Dish,not washing dishes,K51482973
Washer,not starting,K50302412
Washer,,K15124907
Dryer,prong power cord,K69112520
Electronics,buttons,K03125031
WaterTreatment,error code,K10219188
LawnGarden,info,K03313101
Refrigeration,just installed water not hooked up,K82007839
Dryer,not heating as much,K06523316
Dish,leans to one side,K85291412
Dryer,nstall information wats needed,K43532935
Washer,LF error,K62559113
Dryer,door reversal,K21080047
Dryer,heat,K44343207
Dish,flashing,K45112251
Washer,INFO,K54212246
Dryer,noise,K07173040
GarageDoorOpener-Tools,/how to program force,K30182609
LawnGarden,starting,K44792401
Cooking,not heating,K43592555
Refrigeration,not cooling,K74959840
Dryer,noise,K07173040
Cooking,OVEN DOOR LOCKED,K35301534
Dryer,squeekly noise,K93859450
Dish,G,K12033576
Dryer,Not heating up,K44343207
Washer,start,K71136555
Washer,will not start lid lock flashing and sensing,K50302412
Dryer,starting,K01251166
Washer,CD,K39619404
Refrigeration,DAMAGE TO RAIL,K42202788
Washer,locked,K50302412
Washer,wont turn on,K35124648
Cooking,DELIVERY,K41104894
LawnGarden,runs rough,K14011222
Refrigeration,filter reset,K10849800
Dryer,NOT HEATING,K44343207
Cooking,light bulb damaged,K12424332
Dryer,too long,K06523316
Refrigeration,not making ice,K04112301
Refrigeration,filter,K95133724
Washer,stuck on wash,K49797232
Dryer,TAKES TOO LONG,K44343207
Washer,info,K54212246
Washer,.,K01024703
Washer,not dispensing,K01024703
GarageDoorOpener-Tools,spring,K30182609
Cooking,INFO,K00555752
Washer,error code,K26537943
Dryer,ERROR CODE,K21541259
Refrigeration,doors not leveled,K58301822
Washer,NOT DRAINING,K50302412
Dryer,not starting,K54699012
OutdoorGrill,ignitor not working,K86450362
Dish,upper rack,K85291412
Dish,upper rack slanted heavily to the left,K85291412
Washer,clothes,K82524415
Cooking,elemnet,K46105080
Washer,NOT SPINING,K57030057
LawnGarden,starting,K50085239
LawnGarden,oil,K25350079
Dish,.,K54134573
HVAC,knocking noise,K04528439
Cooking,rust is not covered,K49049017
Refrigeration,DOOR NOT CLOSING PROPERLY,K24342516
LawnGarden,runs rough,K41003644
Refrigeration,asd,K83372123
LawnGarden,ticking sound,K07330015
Refrigeration,mwo,K82007839
Washer,leaking,K50456523
LawnGarden,not starting,K14011222
LawnGarden,bent,K14011222
Refrigeration,noises,K95054095
Dryer,clicking noise,K81058330
Refrigeration,handle,K83372123
Dish,damaged,K41851521
Dryer,NDCS-lp gas conversion,K91020932
Dish,cleaning,K51482973
Cooking,does not start,K19969266
Washer,leveling,K46428498
Refrigeration,rust,K61020560
Dish,.,K93931903
Washer,lid lock,K50302412
Refrigeration,no ice,K44210224
Dish,child locl,K55084900
Refrigeration,water issues,K74030111
Dish,,K90125028
Refrigeration,NOISE,K95054095
Dish,NOT DRAINIG,K68815161
Cooking,knobs are worn out,K50019121
