domain,symptom,missed_avoid_freq,svc_ts,case_data
Refrigeration,not cooling,432,2016-08-24T18:52:04.540000,"K21835527,K83461703,K71532941,K32011107,K37280721,K09514812,K75751213,K61679903,K17329434,K90221064,K27070130,K98570133,K25198522,K39461964,K93552554,K23863325,K54553070,K32451504,K50811256"
Refrigeration,not making ice,232,2016-08-24T18:47:10.284000,"K05703652,K72567184,K11609054,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K22555061,K30014110"
Washer,leaking,168,2016-08-24T18:28:42.136000,"K50456523,K01026345,K84504138,K75910040,K21098834,K44164041,K54150844,K01984320,K72219431,K55142258,K21223395,K25451242,K26503436,K32227250,K96352401,K37257047,K32513531,K53340314"
Dryer,not heating,165,2016-08-24T18:46:06.351000,"K44343207,K06523316,K11850393,K88406101,K91230329,K23586020,K60275334,K01251166,K89366054,K51215704,K75908921,K55323073,K81269759,K42127351,K06943359"
HVAC,not cooling,118,2016-08-24T18:53:32.541000,"K05996536,K01558911,K23388585,K97244114,K94925421,K80962232,K76040033,K15312120,K31042390,K99544611,K84862255,K02335373,K13584229,K36431751,K82255542,K21993342,K83199211,K39461319,K35581479"
Dryer,not drying,91,2016-08-24T18:34:48.544000,"K44343207,K06523316,K11850393,K88406101,K91230329,K23586020,K60275334,K01251166,K89366054,K51215704,K75908921,K55323073,K81269759,K06943359"
Washer,not spinning,82,2016-08-24T18:29:33.250000,"K50302412,K15541308,K55563242,K17219414,K71136555,K76590213,K08482157,K44336420,K90545622,K23714571,K91802820,K20454194,K36581248,K57030057,K46422958,K88041152,K85973244,K04513853,K65981435"
Refrigeration,leaking,80,2016-08-24T18:48:17.057000,"K74030111,K89008224,K50025586,K71402522,K00183398,K40502060,K54610106,K34421700,K78220160,K43084184,K43131600,K45314999,K48988063,K25055014,K34844755,K82603786,K51982795,K22643296,K22082859"
Washer,leaking water,75,2016-08-24T18:39:24.226000,"K50456523,K01026345,K84504138,K75910040,K44164041,K54150844,K01984320,K72219431,K55142258,K21223395,K25451242,K26503436,K32227250,K37257047,K32513531,K53340314"
Refrigeration,no ice,73,2016-08-24T18:38:47.086000,"K04112301,K05703652,K72567184,K11609054,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K22555061,K30014110"
Washer,not draining,70,2016-08-24T18:35:28.410000,"K17219414,K76590213,K44336420,K91802820,K36581248,K46422958,K88041152,K85973244"
Washer,not starting,57,2016-08-24T18:44:27.742000,"K50302412,K55563242,K71136555,K90545622,K77132594"
Washer,noise,57,2016-08-24T18:53:14.130000,"K76590213,K44336420,K32612438,K35893596,K35288556,K57144411,K99145255,K53150470,K11867126,K54903301,K91802820,K96253058,K04851141,K14141604,K24538540,K27176138,K84761533,K22500029,K55326271"
Refrigeration,ice maker not working,56,2016-08-24T18:46:19.279000,"K05703652,K72567184,K11609054,K24863464,K53520297,K90516936,K20254308,K44210224,K51156309,K54111380,K22555061,K30014110"
Dryer,not starting,43,2016-08-24T18:46:43.102000,"K54699012,K21155816,K15810034,K05575497,K11035256,K16285540"
Dryer,no heat,40,2016-08-24T18:32:23.023000,"K44343207,K06523316,K11850393,K88406101,K91230329,K23586020,K60275334,K01251166,K89366054,K51215704,K75908921,K55323073,K81269759,K42127351,K06943359"
Washer,not filling,37,2016-08-24T18:03:32.403000,"K46990780,K21719975,K27059519,K32153564,K08751543,K29819221,K52571153,K10214400,K51045166,K11711824,K45358903,K55253223,K53555024,K83269337,K53105415,K73165721"
Washer,not working,33,2016-08-24T17:39:05.714000,"K06847495,K54526550,K35124648,K39137575,K91283102,K08955412,K56474090,K37528051,K19900697,K49024230,K44691801,K10255516,K29505141,K50618615,K16825155,K26130985"
Dish,not draining,30,2016-08-24T18:49:46.639000,"K43545405,K12291159,K68815161,K90125028,K13041402,K53032302,K83330440,K23754055,K61152403,K05536233,K42023517"
